1,1번,가래 빼주세요
2,2번,레불라이저 해주세요
3,3번,엠부백 해주세요
4,4번,가슴 답답해요
5,5번,공기 넣어주세요
6,6번,배아파요
7,7번,안경 주세요
8,8번,열나요
9,9번,구름이 치워주세요
10,10번,속이 안 좋아요
11,11번,춰워요
12,12번,더워요
13,13번,몸 가려워요
14,14번,비상호출
15,15번,TV 켜주세요
16,16번,잘못 보냈어요
17,17번,대변 봐주세요
18,18번,소변 봐주세요
19,19번,코 닦아주세요
20,20번,눈 닦아주세요
21,21번,물 주세요
22,22번,목 닦아주세요
23,23번,배고파요
24,24번,배불러요
